,D3,D2,D1,clusters
222,-31.381763,90.93907,45.46535,2
223,-22.217884,28.76933,-59.06526,1
224,-61.331104,84.90324,125.3651,2
225,-61.51638,-25.372826,26.724157,3
226,-135.41068,-170.119,130.7411,2
227,69.55609,-22.709488,165.50194,0
228,30.0346,77.374504,-145.72008,2
229,14.939988,-70.32056,-161.97055,2
230,-21.285896,59.299194,78.83883,0
231,72.657135,-22.115412,104.43043,2
232,68.440674,-54.286762,-48.302856,3
233,-26.92994,-105.39392,20.467474,1
234,138.65031,-110.49107,32.05753,1
235,-33.128296,-45.5736,121.66307,2
236,95.26783,14.790143,81.665924,2
237,21.362774,-31.503197,115.74566,0
238,6.584915,-84.97178,106.353134,0
239,0.70419323,-120.20786,-20.4599,1
240,111.71452,-20.08432,-55.08277,3
241,159.63818,-72.01715,-6.5927854,1
242,-106.14809,-136.30814,29.741282,1
243,-110.64693,73.226395,130.58966,0
244,-140.1205,69.643394,79.98602,3
245,-150.38324,119.84107,-20.577532,0
246,-60.71445,-86.07438,106.81264,2
247,53.455578,-141.938,108.12154,3
